iter	Passed	Remaining
0	146	146516
1	147	73811
2	149	49583
3	150	37424
4	151	30146
5	152	25295
6	153	21817
7	154	19219
8	156	17186
9	157	15575
10	158	14287
11	160	13194
12	161	12259
13	162	11459
14	164	10800
15	166	10209
16	167	9683
17	169	9224
18	170	8808
19	172	8441
20	173	8088
21	175	7795
22	177	7523
23	178	7258
24	179	7015
25	181	6796
26	182	6592
27	184	6400
28	185	6220
29	187	6056
30	189	5925
31	191	5789
32	192	5654
33	194	5531
34	196	5420
35	198	5305
36	199	5202
37	201	5105
38	203	5011
39	204	4914
40	206	4822
41	207	4734
42	209	4653
43	210	4578
44	211	4497
45	213	4429
46	215	4360
47	216	4295
48	218	4231
49	219	4168
50	221	4115
51	222	4059
52	224	4007
53	225	3958
54	227	3907
55	228	3858
56	230	3807
57	232	3771
58	233	3727
59	235	3683
60	236	3643
61	238	3605
62	239	3564
63	240	3524
64	242	3489
65	244	3457
66	245	3422
67	246	3381
68	248	3354
69	250	3322
70	251	3288
71	252	3256
72	254	3231
73	255	3202
74	257	3174
75	259	3150
76	260	3123
77	261	3095
78	263	3068
79	264	3043
80	266	3021
81	267	2996
82	269	2974
83	271	2957
84	272	2931
85	273	2908
86	274	2881
87	276	2861
88	277	2841
89	279	2822
90	280	2806
91	282	2789
92	284	2770
93	285	2751
94	287	2736
95	288	2719
96	290	2701
97	291	2685
98	293	2671
99	294	2654
100	296	2637
101	297	2615
102	298	2601
103	300	2586
104	301	2573
105	303	2559
106	304	2544
107	306	2529
108	307	2513
109	309	2500
110	310	2487
111	311	2473
112	313	2460
113	315	2451
114	316	2437
115	317	2422
116	319	2408
117	321	2400
118	322	2387
119	323	2375
120	325	2364
121	327	2353
122	327	2338
123	329	2327
124	330	2315
125	332	2305
126	334	2295
127	334	2281
128	336	2272
129	338	2264
130	339	2254
131	341	2243
132	342	2232
133	344	2225
134	345	2215
135	347	2206
136	349	2199
137	350	2189
138	352	2180
139	353	2171
140	355	2167
141	357	2158
142	358	2151
143	360	2144
144	362	2135
145	363	2126
146	364	2117
147	366	2110
148	368	2102
149	377	2139
150	379	2131
151	380	2123
152	381	2114
153	383	2105
154	385	2099
155	386	2091
156	387	2082
157	389	2074
158	390	2066
159	392	2059
160	393	2051
161	395	2046
162	397	2039
163	398	2032
164	400	2025
165	401	2018
166	403	2012
167	404	2004
168	406	1997
169	408	1992
170	409	1986
171	411	1979
172	412	1972
173	414	1967
174	415	1960
175	417	1955
176	419	1951
177	421	1945
178	422	1938
179	423	1931
180	425	1923
181	426	1917
182	428	1911
183	429	1906
184	431	1901
185	433	1895
186	434	1888
187	435	1882
188	437	1877
189	439	1872
190	440	1866
191	442	1862
192	444	1856
193	445	1850
194	446	1844
195	448	1841
196	450	1835
197	451	1830
198	453	1825
199	455	1820
200	456	1814
201	457	1808
202	459	1805
203	461	1800
204	463	1795
205	465	1792
206	466	1787
207	468	1783
208	469	1777
209	471	1772
210	473	1769
211	474	1764
212	476	1759
213	477	1755
214	479	1750
215	480	1745
216	482	1740
217	484	1737
218	485	1732
219	487	1728
220	489	1724
221	490	1719
222	492	1714
223	493	1708
224	494	1704
225	496	1700
226	497	1695
227	499	1692
228	501	1687
229	502	1683
230	504	1678
231	505	1674
232	507	1670
233	508	1666
234	510	1662
235	512	1658
236	513	1654
237	515	1649
238	516	1645
239	518	1642
240	520	1637
241	521	1633
242	523	1630
243	524	1625
244	526	1621
245	527	1616
246	529	1613
247	530	1609
248	532	1605
249	534	1602
250	535	1598
251	537	1593
252	538	1589
253	539	1585
254	541	1582
255	543	1578
256	544	1575
257	546	1571
258	547	1567
259	549	1563
260	550	1559
261	552	1556
262	554	1552
263	555	1549
264	557	1546
265	558	1542
266	560	1538
267	561	1534
268	563	1532
269	565	1528
270	566	1524
271	568	1520
272	570	1517
273	571	1514
274	572	1510
275	574	1507
276	576	1504
277	577	1500
278	579	1497
279	581	1494
280	583	1491
281	584	1488
282	585	1484
283	587	1482
284	589	1478
285	591	1476
286	592	1472
287	594	1469
288	595	1465
289	597	1461
290	599	1460
291	600	1456
292	602	1454
293	604	1451
294	605	1447
295	607	1444
296	609	1441
297	610	1438
298	612	1435
299	613	1431
300	615	1429
301	616	1425
302	618	1422
303	619	1419
304	621	1416
305	623	1412
306	624	1410
307	626	1407
308	628	1404
309	629	1401
310	630	1397
311	633	1395
312	634	1392
313	636	1389
314	638	1387
315	639	1384
316	640	1380
317	642	1377
318	644	1374
319	645	1372
320	647	1369
