iter	Passed	Remaining
0	1	1448
1	2	1367
2	4	1352
3	5	1332
4	6	1336
5	8	1349
6	9	1329
7	10	1319
8	11	1309
9	13	1294
10	14	1269
11	15	1256
12	16	1239
13	17	1224
14	18	1212
15	19	1217
16	21	1227
17	22	1218
18	23	1204
19	24	1192
20	25	1183
21	26	1173
22	27	1176
23	28	1165
24	29	1155
25	30	1147
26	31	1140
27	32	1134
28	33	1136
29	35	1140
30	36	1139
31	37	1132
32	38	1126
33	39	1124
34	41	1133
35	42	1132
36	43	1127
37	44	1121
38	45	1115
39	46	1110
40	47	1113
41	49	1118
42	50	1119
43	51	1118
44	52	1120
45	54	1123
46	55	1125
47	56	1129
48	58	1130
49	59	1128
50	60	1131
51	62	1134
52	63	1140
53	65	1138
54	66	1139
55	67	1145
56	69	1145
57	70	1143
58	71	1139
59	72	1134
60	73	1131
61	75	1134
62	76	1135
63	77	1136
64	79	1137
65	80	1136
66	81	1134
67	82	1134
68	84	1135
69	85	1137
70	87	1139
71	88	1139
72	89	1141
73	91	1143
74	92	1143
75	93	1141
76	95	1140
77	96	1140
78	97	1138
79	98	1135
80	99	1131
81	100	1127
82	101	1118
83	102	1118
84	104	1120
85	105	1121
86	106	1120
87	107	1118
88	109	1116
89	110	1114
90	111	1111
91	112	1110
92	114	1112
93	115	1112
94	116	1113
95	118	1113
96	119	1111
97	120	1113
98	122	1113
99	123	1111
100	124	1109
101	125	1107
102	127	1106
103	128	1104
104	130	1110
105	132	1113
106	133	1117
107	135	1116
108	136	1116
109	138	1116
110	139	1115
111	140	1112
112	141	1109
113	143	1114
114	145	1118
115	146	1119
116	148	1117
117	149	1118
118	151	1118
119	152	1117
120	153	1114
121	154	1110
122	155	1112
123	157	1115
124	159	1118
125	161	1118
126	162	1117
127	163	1117
128	165	1115
129	166	1113
130	167	1112
131	168	1110
132	170	1111
133	172	1112
134	173	1112
135	175	1114
136	176	1112
137	177	1111
138	179	1109
139	180	1108
140	181	1105
141	182	1101
142	183	1099
143	185	1100
144	186	1099
145	188	1101
146	190	1103
147	191	1103
148	193	1103
149	195	1105
150	196	1107
151	198	1109
152	200	1109
153	202	1111
154	204	1114
155	205	1113
156	207	1114
157	208	1113
158	210	1115
159	213	1118
160	214	1116
161	215	1116
162	217	1117
163	219	1116
164	220	1117
165	222	1115
166	223	1113
167	224	1113
168	226	1111
169	227	1109
170	228	1109
171	231	1113
172	232	1112
173	234	1111
174	235	1110
175	236	1108
176	238	1106
177	239	1107
178	241	1106
179	243	1108
180	244	1107
181	246	1106
182	247	1106
183	249	1104
184	250	1102
185	251	1101
186	253	1100
187	254	1100
188	256	1101
189	258	1101
190	259	1099
191	261	1099
192	262	1097
193	263	1095
194	265	1094
195	266	1093
196	268	1092
197	270	1097
198	272	1095
199	273	1094
200	275	1093
201	276	1091
202	277	1090
203	278	1087
204	280	1086
205	281	1085
206	283	1086
207	285	1085
208	286	1084
209	288	1083
210	289	1083
211	290	1081
212	292	1080
213	294	1079
214	295	1078
215	296	1077
216	298	1076
217	299	1074
218	300	1072
219	301	1070
220	303	1068
221	304	1065
222	305	1063
223	306	1061
224	307	1060
225	309	1059
226	310	1057
227	311	1056
228	313	1054
229	314	1051
230	315	1049
231	316	1047
232	317	1044
233	318	1042
234	319	1040
235	320	1037
236	321	1036
237	323	1034
238	324	1033
239	325	1031
240	326	1028
241	327	1027
242	329	1025
243	330	1022
244	331	1020
245	332	1018
246	333	1015
247	334	1014
248	335	1012
249	337	1011
250	338	1009
251	339	1007
252	340	1006
253	341	1004
254	342	1001
255	344	1000
256	345	998
257	346	996
258	347	994
259	348	992
260	349	990
261	351	990
262	353	989
263	354	988
264	355	986
265	356	983
266	357	982
267	358	980
268	359	978
269	361	976
270	361	973
271	363	972
272	364	971
273	366	970
274	367	968
275	368	967
276	370	966
277	371	964
278	372	962
279	373	961
280	375	959
281	376	958
282	377	957
283	379	957
284	381	956
285	382	955
286	384	954
287	385	952
288	386	950
289	387	949
290	388	947
291	389	945
292	391	943
293	392	942
294	394	943
295	396	942
296	397	941
297	399	940
298	400	938
299	401	936
300	402	934
301	403	932
302	404	930
303	406	930
304	408	930
305	409	929
306	411	928
307	412	927
308	413	925
309	415	923
310	416	921
311	417	919
312	418	917
313	419	916
314	420	914
315	422	913
316	423	912
317	424	911
318	426	909
319	427	907
320	428	906
321	429	904
322	430	902
323	431	900
324	432	898
325	434	898
326	436	897
327	437	895
328	438	894
329	439	893
330	441	891
331	442	889
332	443	887
333	444	886
334	445	884
335	447	883
336	448	881
337	449	880
338	451	879
339	452	878
340	453	877
341	455	875
342	456	873
343	457	872
344	458	871
345	460	869
346	461	867
347	462	866
348	463	864
349	465	864
350	466	862
351	467	860
352	468	859
353	469	857
354	471	856
355	472	854
356	473	852
357	474	851
358	475	849
359	476	847
360	478	846
361	479	845
362	480	843
363	482	842
364	483	840
365	484	839
366	485	837
367	486	835
368	488	834
369	489	832
370	490	831
371	492	830
372	493	829
373	494	827
374	495	826
375	497	824
376	498	823
377	499	821
378	500	819
379	501	818
380	502	816
381	503	814
382	504	812
383	506	811
384	507	810
385	508	809
386	509	807
387	511	806
388	512	804
389	513	802
390	514	801
391	515	799
392	516	797
393	517	796
394	518	794
395	520	793
396	521	792
397	522	790
398	524	790
399	525	788
400	526	786
401	527	785
402	528	783
403	530	781
404	531	780
405	532	778
406	533	777
407	534	775
408	536	774
409	537	773
410	538	772
411	540	770
412	541	769
413	542	768
414	543	766
415	545	765
416	546	763
417	547	762
418	548	761
419	550	759
420	551	758
421	552	756
422	553	755
423	555	754
424	556	752
425	557	750
426	558	749
427	559	747
428	560	745
429	562	745
430	563	744
431	565	742
432	566	741
433	567	740
434	568	738
435	569	736
436	570	735
437	571	733
438	573	732
439	574	731
440	576	730
441	578	729
442	579	728
443	580	727
444	582	726
445	583	725
446	584	723
447	586	722
448	587	720
449	588	718
450	589	717
451	591	717
452	593	716
453	594	715
454	595	713
455	597	712
456	598	711
457	599	709
458	600	708
459	601	706
460	603	705
461	604	704
462	605	702
463	607	701
464	608	700
465	609	698
466	610	697
467	612	695
468	613	694
469	614	692
470	615	691
471	616	689
472	618	688
473	619	687
474	620	686
475	622	684
476	623	683
477	624	682
478	625	680
479	627	679
480	628	678
481	630	677
482	631	676
483	633	675
484	634	673
485	635	672
486	636	670
487	637	669
488	639	667
489	640	666
490	641	664
491	642	663
492	643	662
493	645	660
494	646	659
495	647	658
496	649	656
497	650	655
498	651	653
499	652	652
500	653	650
501	654	649
502	655	647
503	656	646
504	658	645
505	659	644
506	661	642
507	662	641
508	663	640
509	664	638
510	665	637
511	666	635
512	667	634
513	668	632
514	669	630
515	671	629
516	672	628
517	673	626
518	675	625
519	676	624
520	677	622
521	678	621
522	679	620
523	680	618
524	681	617
525	683	615
526	684	614
527	685	613
528	687	611
529	688	610
530	690	609
531	691	608
532	692	607
533	694	605
534	695	604
535	696	602
536	697	601
537	698	600
538	700	599
539	701	597
540	703	596
541	704	595
542	705	594
543	707	592
544	708	591
545	709	589
546	710	588
547	711	586
548	712	585
549	713	584
550	715	582
551	716	581
552	718	580
553	719	579
554	721	578
555	722	576
556	723	575
557	724	574
558	725	572
559	726	571
560	728	569
561	729	568
562	731	567
563	732	566
564	733	564
565	735	563
566	736	562
567	737	560
568	738	559
569	739	557
570	740	556
571	741	555
572	743	554
573	745	553
574	746	551
575	748	550
576	749	549
577	750	547
578	751	546
579	752	545
580	753	543
581	754	542
582	756	540
583	757	539
584	759	538
585	760	537
586	761	535
587	762	534
588	764	533
589	765	531
590	766	530
591	767	529
592	768	527
593	770	526
594	771	525
595	772	523
596	773	522
597	775	521
598	776	519
599	777	518
600	778	516
601	779	515
602	780	513
603	781	512
604	782	511
605	784	509
606	785	508
607	786	507
608	788	506
609	789	504
610	790	503
611	791	501
612	792	500
613	793	499
614	794	497
615	795	496
616	797	495
617	799	493
618	800	492
619	801	491
620	803	490
621	804	488
622	805	487
623	807	486
624	808	485
625	809	483
626	810	482
627	812	481
628	813	479
629	814	478
630	816	477
631	817	475
632	818	474
633	819	473
634	820	471
635	821	470
636	822	468
637	823	467
638	825	466
639	826	465
640	828	463
641	829	462
642	830	461
643	831	459
644	833	458
645	834	457
646	835	455
647	836	454
648	837	452
649	838	451
650	839	450
651	840	448
652	842	447
653	843	446
654	844	444
655	846	443
656	847	442
657	848	440
658	849	439
659	850	438
660	851	436
661	852	435
662	853	433
663	855	432
664	856	431
665	857	430
666	859	428
667	860	427
668	861	426
669	862	424
670	863	423
671	864	422
672	865	420
673	866	419
674	867	417
675	869	416
676	870	415
677	871	414
678	873	412
679	874	411
680	875	409
681	876	408
682	877	407
683	878	405
684	879	404
685	880	402
686	881	401
687	882	400
688	883	398
689	885	397
690	886	396
691	887	395
692	889	393
693	890	392
694	891	391
695	892	389
696	894	388
697	895	387
698	897	386
699	898	385
700	899	383
701	901	382
702	902	381
703	904	380
704	906	379
705	907	377
706	908	376
707	910	375
708	911	374
709	913	373
710	914	371
711	916	370
712	917	369
713	919	368
714	920	366
715	921	365
716	922	364
717	923	362
718	926	362
719	928	361
720	930	360
721	933	359
722	935	358
723	936	357
724	938	355
725	940	355
726	943	354
727	945	353
728	947	352
729	949	351
730	950	349
731	953	348
732	955	348
733	956	346
734	958	345
735	960	344
736	961	343
737	962	341
738	964	340
739	966	339
740	968	338
741	970	337
742	971	336
743	973	334
744	974	333
745	975	332
746	977	331
747	978	329
748	980	328
749	982	327
750	983	326
751	985	325
752	987	323
753	988	322
754	989	321
755	991	319
756	992	318
757	994	317
758	996	316
759	997	315
760	999	313
761	1000	312
762	1001	311
763	1002	309
764	1004	308
765	1005	307
766	1007	305
767	1009	305
768	1011	303
769	1013	302
770	1014	301
771	1016	300
772	1018	299
773	1019	297
774	1021	296
775	1023	295
776	1024	294
777	1026	292
778	1027	291
779	1028	290
780	1029	288
781	1031	287
782	1032	286
783	1033	284
784	1035	283
785	1037	282
786	1038	281
787	1040	279
788	1041	278
789	1043	277
790	1044	275
791	1045	274
